" Copy"," Kopyala"
"Action","İşlem"
"Add New Template","Yeni Şablon Ekle"
"Add to Queue","Kuyruğa Ekle"
"Allow Guest Subscription","Misafirlerin Abone Olmasına İzin ver"
"An error occurred while saving your subscription.","Aboneliğiniz kaydedilirken bir hata meydana geldi."
"Are you sure that you want to delete this template?","Bu şablonu silmek istediğinizden emin misiniz?"
"Are you sure that you want to strip all tags?","Tüm Etiketleri uzatmak istediğinizden emin misiniz?"
"Back","Geri"
"Cancel","İptal"
"Cancelled","İptal edildi"
"Cannot mark as received subscriber.","Yeni abone olarak işaretlenemedi."
"Confirmation Email Sender","Onay E-posta Göndericisi"
"Confirmation Email Template","Onay E-posta Şablonu"
"Confirmation request has been sent.","Onaylama isteği gönderildi."
"Convert to Plain Text","Düz yazıya çevir"
"Create Newsletter Template","Bülten Teması oluştur"
"Customer","Müşteri"
"Customer First Name","Müşteri Adı"
"Customer Last Name","Müşteri Soyadı"
"Customer My Account Newsletter Subscriptions","Müşteri Hesabım Bülten Abonelikleri"
"Date Added","Eklenme Tarihi"
"Date Updated","Güncelleme Tarihi"
"Delete","Sil"
"Delete Selected Problems","Seçilen Problemleri Sil"
"Delete Template","Şablonu Sil"
"Do you really want to cancel the queue?","Bu sepeti iptal etmek istediğinizden emin misiniz?"
"Duplicate template code.","Çift tema kodu."
"Edit Newsletter","Bülteni Düzenle"
"Edit Newsletter Template","Bülten Temasını Düzenle"
"Edit Queue","Kuyruğu Düzenle"
"Edit Template","Şablonu Düzenle"
"Email","E-posta"
"Enter your email address","E-posta adresinizi giriniz"
"Error Code","Hata Kodu"
"Error Text","Hata Mesajı"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Abonelikten çıkmak için tıklayınız: <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Misafir"
"ID","No"
"Invalid queue selected.","Hatalı kuyruk seçimi."
"Invalid subscription ID.","Geçersiz abonelik no."
"Invalid subscription confirmation code.","Hatalı abonelik onay kodu."
"Message","Mesaj"
"Need to Confirm","Onaylama gerekiyor"
"New Newsletter Template","Yeni Bülten Şablonu"
"New Template","Yeni Şablon"
"Newsletter","Bülten"
"Newsletter Message Preview","Bülten Mesajı Önizleme"
"Newsletter Problem Reports","Bülten Gönderimi Problem Raporları"
"Newsletter Queue","Bülten Kuyruğu"
"Newsletter Section","Bülten Bölümü"
"Newsletter Sign-up:","Bülten Aboneliği:"
"Newsletter Styles","Bülten Stilleri"
"Newsletter Subscribers","Bülten Aboneleri"
"Newsletter Subscription","Bülten Aboneliği"
"Newsletter Subscription Form Before","Bülten Abonelik Formu Öncesi"
"Newsletter Subscriptions","Bülten Abonelikleri"
"Newsletter Templates","Bülten Temaları"
"Newsletter subscription confirmation","Bülten abonelik onayı"
"Newsletter subscription success","Bülten servisine abonelik başarıyla tamamlandı"
"Newsletter unsubscription success","Bülten abonelik iptali tamamlandı"
"No Templates Found","Şablon bulunamadı."
"No problems found.","Herhangi bir problem mevcut değil."
"No subscribers selected.","Abone seçilmedi."
"Not Activated","Aktif değil"
"Not Sent","Gönderilmedi"
"Pause","Duraklat"
"Paused","Duraklatıldı"
"Please enter a valid email address.","Lütfen geçerli bir e-posta adresi giriniz."
"Please enter new template name","Lütfen yeni şablon adı giriniz"
"Please refer to exeption.log","exeption.log dosyasına bakınız."
"Please select subscriber(s)","Lütfen abone seçiniz"
"Preview","Önizleme"
"Preview Template","Şablon Önizleme"
"Processed","İşlendi"
"Queue Date Start","Kuyruk Başlama Tarihi"
"Queue Finish","Kuyruk Bitişi"
"Queue Information","Kuyruk Bilgisi"
"Queue Newsletter...","Bülten Kuyruğu..."
"Queue Start","Kuyruk Başlangıcı"
"Queue Subject","Kuyruk Konusu"
"Recipients","Alıcılar"
"Reset","Sıfırla"
"Resume","Devam Et"
"Return HTML Version","Html Sürümüne Dön"
"Save As","Farklı Kaydet"
"Save Newsletter","Bülteni Kaydet"
"Save Template","Şablonu Kaydet"
"Save and Resume","Kaydet ve Devam Et"
"Selected problem subscribers have been unsubscribed.","Problem oluşturan aboneler abonelikten çıkarıldı."
"Selected problems have been deleted.","Seçilen Problemler Silindi."
"Sender","Gönderici"
"Sender Email","Gönderici E-posta Adresi"
"Sender Name","Gönderici Adı"
"Sending","Gönderiliyor"
"Sent","Gönderildi"
"Sign Up for Our Newsletter:","Bültenimize Abone Olmak İster misiniz?"
"Sign up for our newsletter","Bülten servisimize abone olun."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Üzgünüz, misafir kullanıcıların bülten listesine abone olmasına izin verilmiyor. Lütfen <a href=""%s"">üye olunuz</a>."
"Start","Başla"
"Status","Durum"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Subject","Konu"
"Submit","Gönder"
"Subscribe","Abone Ol"
"Subscribed","Abone oldu."
"Subscriber","Abone"
"Subscribers","Aboneler"
"Subscribers From","Aboneler"
"Subscription Options","Abonelik Seçenekleri"
"Success Email Sender","Başarılı E-posta Göndericisi"
"Success Email Template","Başarılı E-posta Şablonu"
"Template Content","Şablon İçeriği"
"Template Information","Şablon Bilgisi"
"Template Name","Şablon Adı"
"Template Styles","Şablon Stilleri"
"Template Subject","Şablon Konusu"
"Template Type","Şablon Tipi"
"Thank you for your subscription.","Abonelik kaydınız için teşekkür ederiz."
"The subscription has been removed.","Abonelik iptal edildi."
"The subscription has been saved.","Abonelik kaydedildi."
"There was a problem with the subscription.","Abonelikle ilgili bir hata meydana geldi."
"There was a problem with the subscription: %s","Abonelik esnasında bir hata meydana geldi: %s"
"There was a problem with the un-subscription.","Abonelik iptali işlemi esnasında bir hata oluştu."
"This email address is already assigned to another user.","Bu e-posta adresi başka bir kullanıcı ile ilişkilendirilmiş."
"Type","Tip"
"Unconfirmed","Onaylanmamış"
"Unsubscribe","Abonelik iptali"
"Unsubscribe Selected","Seçilen Abonelikleri İptal et"
"Unsubscribed","Abonelik iptal edildi"
"Unsubscription Email Sender","Abonelik iptali için Email Göndericisi"
"Unsubscription Email Template","Abonelik iptali için Email Teması"
"View Newsletter","Bülteni Göster"
"Website","Websitesi"
"You have been unsubscribed.","Aboneliğiniz iptal edilmiştir."
"Your subscription has been confirmed.","Aboneliğiniz onaylandı."
