"%s","%s"
"%s already exist.","%s zaten mevcut."
"%s already exists.","%s zaten mevcut."
"-- Please Select --","-- Lütfen Seçiniz --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Dikkat!</strong> CDN kullandığınızda, eğer cd sizin bir alt alan adınız ( subdomain ) şeklinde değilse bazı javascript uygulamaları çalışmayabilir"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Dikkat!</strong> URL'lerde mağaza kodlarını kullanmak bazı durumlarda sisteminizin çalışmamasına neden olabilir. URL'deki mağaza bilgisine göre işlem yapamayan bazı modüller bu durumda çalışmayabilir."
"A category object is required for determining the product request path.","Ürün istek yolunun belirlenmesi için kategori nesnesi zorunludur."
"Add Block Names to Hints","İpuçlarına Kutu Adlarını da Ekle"
"Add Secret Key to URLs","URL lere Gizli Anahtar Kelime Ekle"
"Add Store Code to Urls","URL lere Mağaza Kodu Ekle"
"Admin","Yönetim"
"Admin Base URL","Yönetim Ana URL"
"Admin User Emails","Yönetici E-postaları"
"Advanced","Gelişmiş"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Yeni bir medya depolama lokasyonu seçtikten sonra, lütfen Eşleştir butonuna basarak tüm medya öğelerinin yeni lokasyona transfer edilmesini başlatınız. Eşleşme işlemi bitene kadar meday öğeleri yeni lokasyonda kullanılabilir olmayacaktır."
"Allow Countries","Ülkelere İzin Var"
"Allow Symlinks","Sembolik linklere izin ver"
"Allowed IPs (comma separated)","İzin veriler IP Adresleri (virgülle ayrılmış)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","İzin verilen dosya türleri: ICO, PNG, GIF, JPG, JPEG, APNG, SVG.Tüm tarayıcılar bu dosya türlerini desteklemeyebilir!"
"Allows customers to stay logged in when switching between different stores.","Müşterilerin mağazalar arasında geçiş yaparken oturumları geçerli kılınmasına izin ver"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Sayfalama menüsünde bir sonraki sayfa bağlantısı için alternatif kelime. Boş bırakırsanız varsayılan ok resmi kullanılacaktır."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Sayfalama menüsünde bir önceki sayfa bağlantısı için alternatif kelime. Boş bırakırsanız varsayılan ok kullanılacaktır."
"An error occurred while saving. Please review the error log.","Kaydetme esnasında bir hata meydana geldi. Lütfen hata günlüğünü inceleyiniz."
"Anchor Text for Next","Sonraki kayıt için Bağlantı Kelimesi"
"Anchor Text for Previous","Önceki kayıt için Bağlantı Kelimesi"
"Anchor symbol (#) is not supported in request path","(#) bağlantı sembolü talep dizin yolunda desteklenmemektedir."
"Anchor symbol (#) is not supported in url rewrite suffix","(#) bağlantı sembolünün URL yeniden yazımında URL rewrite soneki olarak desteklenmemektedir."
"Are you sure?","Emin misiniz?"
"Auto-redirect to Base URL","Otomatik Ana Url ye yönlendir"
"Back","Geri"
"Backup Options","Yedekleme seçenekleri"
"Base JavaScript URL","Ana JavaScript URL"
"Base Link URL","Ana Bağlantı Adresi"
"Base Media URL","Ana Medya Dizin URL"
"Base Secure URL","Ana Güvenli URL"
"Base Skin URL","Ana Tema URL"
"Base URL","Ana URL"
"Base Unsecure URL","Ana URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Mağaza kodunu değiştirmeden önce index.php dosyasında kullanılmadığından emin olunuz."
"Before modifying the website code please make sure that it is not used in index.php.","Web sitesi kodunu değiştirmeden önce index.php dosyasından çağrılmadığına emin olunuz."
"Block with name ""%s"" already exists","""%s"" adla bir grup zaten var"
"Browser Capabilities Detection","Tarayıcı Yetenekleri Tespiti"
"CSS Settings","CSS Ayarları"
"Cache Storage Management","Ön Bellek Depolama Yönetimi"
"Cache storage may contain additional data. Are you sure that you want flush it?","Ön Bellek depolama ek verileri içermektedir. Boşaltmak istediğinizden emin misiniz?"
"Can not create invoice. Order was not found.","Fatura oluşturulamadı. Sipariş bulunamadı."
"Can't retrieve request object","Talep nesnesi alınamıyor"
"Can\'t retrieve entity config: %s","Varlık yapılandırma alınamadı: %s"
"Cancel","İptal"
"Cannot complete this operation from non-admin area.","Yönetim alanı dışından bu işlem yapılamaz."
"Card type does not match credit card number.","Kart tipi kredi kartı numaranızla eşleşmiyor."
"Code","Kod"
"Controller file was loaded but class does not exist","Kontrol dosyası yüklendi fakat sınıf bulunamıyor"
"Cookie Domain","Çerez Domaini"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez Dizini"
"Cookie Restriction Mode","Web Çerezi Kısıtlama Modu"
"Copyright","Telif Hakkı"
"Core","Çekirdek"
"Countries Options","Ülkeler Seçenekleri"
"Country","Ülke"
"Create Store","Mağaza Oluştur"
"Create Store View","Mağaza Görünümü Oluştur"
"Create Website","Websitesi Oluştur"
